campus,bldgname,ts,present_elec_kwh,historical_elec_kwh,present_htwt_mmbtu,historical_htwt_mmbtu,present_wtr_usgal,historical_wtr_usgal,present_chll_tonhr,historical_chll_tonhr,present_co2_tons,historical_co2_tons,latitude,longitude,year,month,day,hour
West,Earth Sciences,2019-09-19T00:00:00,,,,,,,5.0,7.0,,,41.314669,-105.583639,2019,9,19,0
West,Earth Sciences,2019-09-19T01:00:00,,,,,,,4.0,7.0,,,41.314669,-105.583639,2019,9,19,1
West,Earth Sciences,2019-09-19T02:00:00,,,,,,,3.0,5.0,,,41.314669,-105.583639,2019,9,19,2
West,Earth Sciences,2019-09-19T03:00:00,,,,,,,2.0,5.0,,,41.314669,-105.583639,2019,9,19,3
West,Earth Sciences,2019-09-19T04:00:00,,,,,,,1.0,4.0,,,41.314669,-105.583639,2019,9,19,4
West,Earth Sciences,2019-09-19T05:00:00,,,,,,,1.0,4.0,,,41.314669,-105.583639,2019,9,19,5
West,Earth Sciences,2019-09-19T06:00:00,,,,,,,1.0,4.0,,,41.314669,-105.583639,2019,9,19,6
West,Earth Sciences,2019-09-19T07:00:00,,,,,,,2.0,3.0,,,41.314669,-105.583639,2019,9,19,7
West,Earth Sciences,2019-09-19T08:00:00,,,,,,,2.0,6.0,,,41.314669,-105.583639,2019,9,19,8
West,Earth Sciences,2019-09-19T09:00:00,,,,,,,9.0,10.0,,,41.314669,-105.583639,2019,9,19,9
West,Earth Sciences,2019-09-19T10:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,19,10
West,Earth Sciences,2019-09-19T11:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,19,11
West,Earth Sciences,2019-09-19T12:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,19,12
West,Earth Sciences,2019-09-19T13:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,19,13
West,Earth Sciences,2019-09-19T14:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,19,14
West,Earth Sciences,2019-09-19T15:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,19,15
West,Earth Sciences,2019-09-19T16:00:00,,,,,,,,10.0,,,41.314669,-105.583639,2019,9,19,16
West,Earth Sciences,2019-09-19T17:00:00,,,,,,,,11.0,,,41.314669,-105.583639,2019,9,19,17
West,Earth Sciences,2019-09-19T18:00:00,,,,,,,,10.0,,,41.314669,-105.583639,2019,9,19,18
West,Earth Sciences,2019-09-19T19:00:00,,,,,,,,10.0,,,41.314669,-105.583639,2019,9,19,19
West,Earth Sciences,2019-09-19T20:00:00,,,,,,,11.0,8.0,,,41.314669,-105.583639,2019,9,19,20
West,Earth Sciences,2019-09-19T21:00:00,,,,,,,8.0,8.0,,,41.314669,-105.583639,2019,9,19,21
West,Earth Sciences,2019-09-19T22:00:00,,,,,,,10.0,6.0,,,41.314669,-105.583639,2019,9,19,22
West,Earth Sciences,2019-09-19T23:00:00,,,,,,,8.0,5.0,,,41.314669,-105.583639,2019,9,19,23
West,Earth Sciences,2019-09-20T00:00:00,,,,,,,4.0,5.0,,,41.314669,-105.583639,2019,9,20,0
West,Earth Sciences,2019-09-20T01:00:00,,,,,,,5.0,6.0,,,41.314669,-105.583639,2019,9,20,1
West,Earth Sciences,2019-09-20T02:00:00,,,,,,,5.0,7.0,,,41.314669,-105.583639,2019,9,20,2
West,Earth Sciences,2019-09-20T03:00:00,,,,,,,4.0,5.0,,,41.314669,-105.583639,2019,9,20,3
West,Earth Sciences,2019-09-20T04:00:00,,,,,,,4.0,6.0,,,41.314669,-105.583639,2019,9,20,4
West,Earth Sciences,2019-09-20T05:00:00,,,,,,,3.0,4.0,,,41.314669,-105.583639,2019,9,20,5
West,Earth Sciences,2019-09-20T06:00:00,,,,,,,3.0,5.0,,,41.314669,-105.583639,2019,9,20,6
West,Earth Sciences,2019-09-20T07:00:00,,,,,,,4.0,5.0,,,41.314669,-105.583639,2019,9,20,7
West,Earth Sciences,2019-09-20T08:00:00,,,,,,,7.0,5.0,,,41.314669,-105.583639,2019,9,20,8
West,Earth Sciences,2019-09-20T09:00:00,,,,,,,11.0,6.0,,,41.314669,-105.583639,2019,9,20,9
West,Earth Sciences,2019-09-20T10:00:00,,,,,,,,10.0,,,41.314669,-105.583639,2019,9,20,10
West,Earth Sciences,2019-09-20T11:00:00,,,,,,,,11.0,,,41.314669,-105.583639,2019,9,20,11
West,Earth Sciences,2019-09-20T12:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,20,12
West,Earth Sciences,2019-09-20T13:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,20,13
West,Earth Sciences,2019-09-20T14:00:00,,,,,,,,,,,41.314669,-105.583639,2019,9,20,14
West,Earth Sciences,2019-09-20T15:00:00,,,,,,,,11.0,,,41.314669,-105.583639,2019,9,20,15
West,Earth Sciences,2019-09-20T16:00:00,,,,,,,,11.0,,,41.314669,-105.583639,2019,9,20,16
