model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
solos,Stadium,present_elec_kwh,prophet,5,12,31.83452234454033,19.79651134758195,0.8477010451859717,./models/solos/stadium_present_elec_kwh_prophet_5_12.pkl
solos,Stadium,present_elec_kwh,prophet,5,24,30.557988290192114,19.54778836929102,0.8597346902556482,./models/solos/stadium_present_elec_kwh_prophet_5_24.pkl
solos,Stadium,present_elec_kwh,prophet,6,1,50.26783731158433,36.92662872317304,0.6200111968148508,./models/solos/stadium_present_elec_kwh_prophet_6_1.pkl
solos,Stadium,present_elec_kwh,prophet,6,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/solos/stadium_present_elec_kwh_prophet_6_8.pkl
solos,Stadium,present_elec_kwh,prophet,6,12,32.31194435492088,19.92738568944838,0.8430987398955653,./models/solos/stadium_present_elec_kwh_prophet_6_12.pkl
solos,Stadium,present_elec_kwh,prophet,6,24,31.476304082022455,20.018128715672553,0.8511776290151043,./models/solos/stadium_present_elec_kwh_prophet_6_24.pkl
solos,Stadium,present_elec_kwh,prophet,7,1,48.89623584365831,35.855799158467946,0.6404649351833012,./models/solos/stadium_present_elec_kwh_prophet_7_1.pkl
solos,Stadium,present_elec_kwh,prophet,7,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/solos/stadium_present_elec_kwh_prophet_7_8.pkl
solos,Stadium,present_elec_kwh,prophet,7,12,32.53117969084157,20.852679734548612,0.8409623784511181,./models/solos/stadium_present_elec_kwh_prophet_7_12.pkl
solos,Stadium,present_elec_kwh,prophet,7,24,74.46611934094979,64.11260336782601,0.16705140717622047,./models/solos/stadium_present_elec_kwh_prophet_7_24.pkl
