model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
ensembles,Stadium,present_elec_kwh,linear interpolation,1,24,29.662449368388522,19.01867005814968,0.8753301172359914,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_1_24.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,2,1,49.58146628566968,37.76744965681167,0.6511880683208922,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_2_1.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,2,8,30.64181705015141,19.391689533233745,0.8668357286378673,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_2_8.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,2,12,30.021935566389722,19.07827217757089,0.8722136341293127,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_2_12.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,2,24,30.145652570180566,19.481125058904095,0.8712352732994036,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_2_24.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,3,1,49.63648400316518,37.65963264019037,0.6504135255232952,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_3_1.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,3,8,30.752429927532436,19.816124579210395,0.8658725827974876,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_3_8.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,3,12,30.044761620072503,18.714239301296306,0.8720192451098008,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_3_12.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,3,24,30.145652570180566,19.481125058904095,0.8712352732994036,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_3_24.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,4,1,49.51804408515179,36.98268071452312,0.65207986410541,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_4_1.pkl
