model_type,bldgname,y,preprocessing_method,feature_mode,time_step,rmse,mae,r2,model_file
solos,Energy Innovation Center,present_elec_kwh,linear regression,feature complete,8,36.63283701845818,27.464926885626692,0.4920486521292554,./models/solos/energy_innovation_center_present_elec_kwh_linear_regression_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear regression,feature complete,12,48.73420049641812,37.980253160855845,0.10153075308008064,./models/solos/energy_innovation_center_present_elec_kwh_linear_regression_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear regression,feature complete,24,64.0062862005512,53.860432620905726,-0.5504303172123517,./models/solos/energy_innovation_center_present_elec_kwh_linear_regression_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,standard,1,8.374747883689883,6.0918268421107555,0.3090486687055931,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_standard_1_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,standard,8,6.592829951248315,4.844423133599272,0.571747608501845,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_standard_8_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,standard,12,6.533908168646837,4.8340263119620746,0.5796304638875847,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_standard_12_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,standard,24,5.605417060873944,4.0936584943327246,0.6906587362150602,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_standard_24_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,feature complete,1,48.002688820189945,36.21059980518314,0.2785501383574118,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,feature complete,8,37.673242955241975,28.425393302335852,0.5555804941319388,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,feature complete,12,50.33842471102561,39.83258390177102,0.20703234144599614,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_elec_kwh,linear interpolation,feature complete,24,71.64822279197931,60.115522418539605,-0.6062157825278516,./models/solos/energy_innovation_center_present_elec_kwh_linear_interpolation_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,standard,1,7.748619736910303,5.4400051069140485,0.31488534436339144,./models/solos/energy_innovation_center_present_elec_kwh_prophet_standard_1_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,standard,8,6.43783352883145,4.699878305756228,0.5270228364069365,./models/solos/energy_innovation_center_present_elec_kwh_prophet_standard_8_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,standard,12,6.316328157872195,4.611171768530971,0.544971689479356,./models/solos/energy_innovation_center_present_elec_kwh_prophet_standard_12_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,standard,24,5.393861514916375,3.868029770871449,0.6680659741416609,./models/solos/energy_innovation_center_present_elec_kwh_prophet_standard_24_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,feature complete,1,45.62150232920807,33.34818789198181,0.24521236481572994,./models/solos/energy_innovation_center_present_elec_kwh_prophet_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,feature complete,8,35.900854715361625,26.57457974627791,0.5325433794705514,./models/solos/energy_innovation_center_present_elec_kwh_prophet_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,feature complete,12,45.86117520216048,35.005873290714646,0.2376218211066774,./models/solos/energy_innovation_center_present_elec_kwh_prophet_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_elec_kwh,prophet,feature complete,24,65.75208809443366,55.26952798758797,-0.5676255703187343,./models/solos/energy_innovation_center_present_elec_kwh_prophet_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,standard,1,32.05267701409848,20.571524003611867,-0.7736558609531226,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_standard_1_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,standard,8,26.83912729924222,14.409661961145162,-0.24269546920093643,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_standard_8_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,standard,12,16.625040129097236,9.639382973498366,0.523373518235821,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_standard_12_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,standard,24,21.547754830214345,12.041995856161233,0.20036351080535586,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_standard_24_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,feature complete,1,17.709096557200137,9.525456146217811,-1.1466701882243564,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,feature complete,8,11.040727453973188,6.326958970694098,0.16621307108221095,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,feature complete,12,10.859300879060628,6.075698653583843,0.19371558341504036,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear regression,feature complete,24,53.518862560541564,52.13273367209538,-18.558433681986035,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_regression_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,standard,1,0.4626546284402465,0.14320976594039386,-0.14514021672925304,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_standard_1_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,standard,8,0.10646094207244511,0.06460687062870536,0.9393998115279895,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_standard_8_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,standard,12,3.0885728154982903,3.080819062246589,-49.99425689066772,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_standard_12_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,standard,24,1.6778107184339908,0.3590420269520882,-14.024696756142275,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_standard_24_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,feature complete,1,0.9036140740092088,0.16103896279076432,-16.319788616932385,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,feature complete,8,0.8077616282537465,0.24694073731842145,-12.832209942092213,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,feature complete,12,0.7939839751826184,0.18674869888903498,-12.361672481933423,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_feature_complete_12_model.pkl
