model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
xgboost,Physical Science,present_chll_tonhr,lstm,lassocv,1,1,1,year,9392.374183613992,9263.070889449293,0.15861236470013257,./models/xgboost/Physical_Science_Data_Extended_present_chll_tonhr_lstm_lassocv_1_1_1_year,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_lstm,Physical_Science_Data_Extended.csv
xgboost,Williams Conservatory,present_elec_kwh,linear_interpolation,lassocv,6,1,1,year,25517.703964329092,21655.41666666657,0.12120689948657239,./models/xgboost/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_6_1_1_year,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_interpolation,Williams_Conservatory_Data_Extended.csv
xgboost,High Bay,present_elec_kwh,lstm,rfecv,4,1,1,year,304339.64077328105,303800.6365655906,0.1571649244787029,./models/xgboost/High_Bay_Data_Extended_present_elec_kwh_lstm_rfecv_4_1_1_year,./models/tmp/High_Bay_Data_Extended_present_elec_kwh_lstm,High_Bay_Data_Extended.csv
xgboost,Arts and Sciences,present_elec_kwh,lstm,rfecv,3,1,1,year,33142.951129175875,32711.636836899677,0.1652108879050312,./models/xgboost/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_3_1_1_year,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_lstm,Arts_and_Sciences_Data_Extended.csv
xgboost,Information Technology,present_elec_kwh,lstm,rfecv,6,1,1,year,662607.6173031495,662503.1797760017,0.18106700805550419,./models/xgboost/Information_Technology_Data_Extended_present_elec_kwh_lstm_rfecv_6_1_1_year,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_lstm,Information_Technology_Data_Extended.csv
xgboost,WRI and Bureau of Mines,present_elec_kwh,prophet,rfecv,1,1,1,year,67500.73588426225,67386.5067382576,0.1436360611009348,./models/xgboost/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_prophet_rfecv_1_1_1_year,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_prophet,WRI_and_Bureau_of_Mines_Data_Extended.csv
xgboost,Centennial Complex,present_elec_kwh,linear_interpolation,lassocv,6,4,1,year,153.8439607854002,152.47065986325453,0.14762271321543743,./models/xgboost/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_6_4_1_year,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_interpolation,Centennial_Complex_Data_Extended.csv
xgboost,General Storage,present_elec_kwh,linear_interpolation,lassocv,5,4,1,year,16431.16115720925,16273.2890625,0.1284143089728009,./models/xgboost/General_Storage_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_5_4_1_year,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_linear_interpolation,General_Storage_Data_Extended.csv
xgboost,Physical Science,present_elec_kwh,prophet,lassocv,3,3,1,year,344595.1064712078,339627.0896798875,0.1309285768656157,./models/xgboost/Physical_Science_Data_Extended_present_elec_kwh_prophet_lassocv_3_3_1_year,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_prophet,Physical_Science_Data_Extended.csv
xgboost,Student Union,present_elec_kwh,lstm,rfecv,2,1,1,year,155258.9925310831,153940.6277370453,0.14218105512478016,./models/xgboost/Student_Union_Data_Extended_present_elec_kwh_lstm_rfecv_2_1_1_year,./models/tmp/Student_Union_Data_Extended_present_elec_kwh_lstm,Student_Union_Data_Extended.csv
xgboost,Enzi-STEM,present_elec_kwh,linear_interpolation,lassocv,5,4,1,year,240118.17867107256,240043.375,0.1629819314985083,./models/xgboost/Enzi-STEM_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_5_4_1_year,./models/tmp/Enzi-STEM_Data_Extended_present_elec_kwh_linear_interpolation,Enzi-STEM_Data_Extended.csv
xgboost,General Storage,present_elec_kwh,lstm,lassocv,6,4,1,year,17271.048478304096,17174.687836647034,0.13262509155787625,./models/xgboost/General_Storage_Data_Extended_present_elec_kwh_lstm_lassocv_6_4_1_year,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_lstm,General_Storage_Data_Extended.csv
xgboost,Education Annex,present_elec_kwh,linear_regression,lassocv,5,4,1,year,25772.890023918968,25703.922152474566,0.13806684515816015,./models/xgboost/Education_Annex_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_4_1_year,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_linear_regression,Education_Annex_Data_Extended.csv
xgboost,Williams Conservatory,present_elec_kwh,linear_regression,lassocv,1,1,1,year,22557.332736384673,16103.584021534713,0.08566389830778015,./models/xgboost/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_regression_lassocv_1_1_1_year,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_linear_regression,Williams_Conservatory_Data_Extended.csv
xgboost,Physical Science,present_elec_kwh,lstm,lassocv,3,3,1,year,348125.0646363925,343654.521824372,0.13259311271197516,./models/xgboost/Physical_Science_Data_Extended_present_elec_kwh_lstm_lassocv_3_3_1_year,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_lstm,Physical_Science_Data_Extended.csv
xgboost,Education Annex,present_elec_kwh,prophet,lassocv,1,1,1,year,26268.41609964795,26209.65655585291,0.1401437437421587,./models/xgboost/Education_Annex_Data_Extended_present_elec_kwh_prophet_lassocv_1_1_1_year,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_prophet,Education_Annex_Data_Extended.csv
xgboost,Engineering,present_elec_kwh,linear_interpolation,rfecv,7,1,1,year,229744.2456310112,196749.55000000028,0.08178038695143064,./models/xgboost/Engineering_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_7_1_1_year,./models/tmp/Engineering_Data_Extended_present_elec_kwh_linear_interpolation,Engineering_Data_Extended.csv
xgboost,Coe Library,present_elec_kwh,linear_regression,lassocv,5,4,1,year,411209.80569821777,411112.5808811723,0.15029583193923496,./models/xgboost/Coe_Library_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_4_1_year,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_regression,Coe_Library_Data_Extended.csv
