model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file,selected_features_delimited
solos,hvaclab,total_ele (kw),prophet,lassocv,96,19,1,hour,1.585134361532018,1.0186185268209,0.1552378794805309,./models/solos/data_total_ele (kw)_prophet_lassocv_96_19_1_hour,./models/tmp/data_total_ele (kw)_prophet,data.csv,chiller PowerScout.AV-1030 (KW)|powerScout 24.AV-61030 (KW)|HVAC Lab.CLG-O (%)|HVAC Lab.CHWS-T (F)|HVAC Lab.STM-O (%)|VAV-5.DPR-O (%)|VAV-5.HTG-O (%)|VAV-4.HTG-O (%)|VAV-6.ZN-SP (F)|VAV-5.SA-F (cfm)|PowerScout 24.AV-1030|PowerScout 24.AV-9030|PowerScout 24.AV-21030|HVAC Lab.HWS-DT (F)|PHW-F|HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
xgboost,hvaclab,total_ele (kw),lstm,rfecv,83,4,1,hour,5.838022407921046,3.202736463116014,0.3297895326063929,./models/xgboost/data_total_ele (kw)_lstm_rfecv_83_4_1_hour,./models/tmp/data_total_ele (kw)_lstm,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
solos,hvaclab,total_ele (kw),linear_regression,lassocv,32,19,1,hour,1.585134361532018,1.0186185268209,0.1552378794805309,./models/solos/data_total_ele (kw)_linear_regression_lassocv_32_19_1_hour,./models/tmp/data_total_ele (kw)_linear_regression,data.csv,chiller PowerScout.AV-1030 (KW)|powerScout 24.AV-61030 (KW)|HVAC Lab.CLG-O (%)|HVAC Lab.CHWS-T (F)|HVAC Lab.STM-O (%)|VAV-5.DPR-O (%)|VAV-5.HTG-O (%)|VAV-4.HTG-O (%)|VAV-6.ZN-SP (F)|VAV-5.SA-F (cfm)|PowerScout 24.AV-1030|PowerScout 24.AV-9030|PowerScout 24.AV-21030|HVAC Lab.HWS-DT (F)|PHW-F|HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
solos,hvaclab,total_ele (kw),lstm,rfecv,58,4,1,hour,0.6065470505825721,0.2594767738691992,0.03250393101808096,./models/solos/data_total_ele (kw)_lstm_rfecv_58_4_1_hour,./models/tmp/data_total_ele (kw)_lstm,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
solos,hvaclab,total_ele (kw),linear_interpolation,rfecv,78,4,1,hour,0.6065470505825721,0.2594767738691992,0.03250393101808096,./models/solos/data_total_ele (kw)_linear_interpolation_rfecv_78_4_1_hour,./models/tmp/data_total_ele (kw)_linear_interpolation,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
solos,hvaclab,total_ele (kw),linear_regression,rfecv,37,4,1,hour,0.6065470505825721,0.2594767738691992,0.03250393101808096,./models/solos/data_total_ele (kw)_linear_regression_rfecv_37_4_1_hour,./models/tmp/data_total_ele (kw)_linear_regression,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
xgboost,hvaclab,total_ele (kw),lstm,lassocv,71,19,1,hour,1.6148289917768388,1.0128563883007866,0.14106968583830892,./models/xgboost/data_total_ele (kw)_lstm_lassocv_71_19_1_hour,./models/tmp/data_total_ele (kw)_lstm,data.csv,chiller PowerScout.AV-1030 (KW)|powerScout 24.AV-61030 (KW)|HVAC Lab.CLG-O (%)|HVAC Lab.CHWS-T (F)|HVAC Lab.STM-O (%)|VAV-5.DPR-O (%)|VAV-5.HTG-O (%)|VAV-4.HTG-O (%)|VAV-6.ZN-SP (F)|VAV-5.SA-F (cfm)|PowerScout 24.AV-1030|PowerScout 24.AV-9030|PowerScout 24.AV-21030|HVAC Lab.HWS-DT (F)|PHW-F|HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
ensembles,hvaclab,total_ele (kw),prophet,rfecv,108,4,1,hour,1.4015560633185111,0.9510547874965477,0.11780751118055176,./models/ensembles/data_total_ele (kw)_prophet_rfecv_108_4_1_hour,./models/tmp/data_total_ele (kw)_prophet,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
solos,hvaclab,total_ele (kw),linear_regression,rfecv,42,4,1,hour,0.6065470505825721,0.2594767738691992,0.03250393101808096,./models/solos/data_total_ele (kw)_linear_regression_rfecv_42_4_1_hour,./models/tmp/data_total_ele (kw)_linear_regression,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
xgboost,hvaclab,total_ele (kw),linear_regression,lassocv,38,19,1,hour,1.6148289917768388,1.0128563883007866,0.14106968583830892,./models/xgboost/data_total_ele (kw)_linear_regression_lassocv_38_19_1_hour,./models/tmp/data_total_ele (kw)_linear_regression,data.csv,chiller PowerScout.AV-1030 (KW)|powerScout 24.AV-61030 (KW)|HVAC Lab.CLG-O (%)|HVAC Lab.CHWS-T (F)|HVAC Lab.STM-O (%)|VAV-5.DPR-O (%)|VAV-5.HTG-O (%)|VAV-4.HTG-O (%)|VAV-6.ZN-SP (F)|VAV-5.SA-F (cfm)|PowerScout 24.AV-1030|PowerScout 24.AV-9030|PowerScout 24.AV-21030|HVAC Lab.HWS-DT (F)|PHW-F|HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
solos,hvaclab,total_ele (kw),linear_regression,lassocv,49,19,1,hour,1.585134361532018,1.0186185268209,0.1552378794805309,./models/solos/data_total_ele (kw)_linear_regression_lassocv_49_19_1_hour,./models/tmp/data_total_ele (kw)_linear_regression,data.csv,chiller PowerScout.AV-1030 (KW)|powerScout 24.AV-61030 (KW)|HVAC Lab.CLG-O (%)|HVAC Lab.CHWS-T (F)|HVAC Lab.STM-O (%)|VAV-5.DPR-O (%)|VAV-5.HTG-O (%)|VAV-4.HTG-O (%)|VAV-6.ZN-SP (F)|VAV-5.SA-F (cfm)|PowerScout 24.AV-1030|PowerScout 24.AV-9030|PowerScout 24.AV-21030|HVAC Lab.HWS-DT (F)|PHW-F|HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
solos,hvaclab,total_ele (kw),lstm,rfecv,73,4,1,hour,0.6065470505825721,0.2594767738691992,0.03250393101808096,./models/solos/data_total_ele (kw)_lstm_rfecv_73_4_1_hour,./models/tmp/data_total_ele (kw)_lstm,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
xgboost,hvaclab,total_ele (kw),lstm,rfecv,37,4,1,hour,5.838022407921046,3.202736463116014,0.3297895326063929,./models/xgboost/data_total_ele (kw)_lstm_rfecv_37_4_1_hour,./models/tmp/data_total_ele (kw)_lstm,data.csv,HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
xgboost,hvaclab,total_ele (kw),linear_interpolation,lassocv,46,19,1,hour,1.6148289917768388,1.0128563883007866,0.14106968583830892,./models/xgboost/data_total_ele (kw)_linear_interpolation_lassocv_46_19_1_hour,./models/tmp/data_total_ele (kw)_linear_interpolation,data.csv,chiller PowerScout.AV-1030 (KW)|powerScout 24.AV-61030 (KW)|HVAC Lab.CLG-O (%)|HVAC Lab.CHWS-T (F)|HVAC Lab.STM-O (%)|VAV-5.DPR-O (%)|VAV-5.HTG-O (%)|VAV-4.HTG-O (%)|VAV-6.ZN-SP (F)|VAV-5.SA-F (cfm)|PowerScout 24.AV-1030|PowerScout 24.AV-9030|PowerScout 24.AV-21030|HVAC Lab.HWS-DT (F)|PHW-F|HWP_power(kw)|Fan_power(kw)|Chiller_power(kw)|CWPump_power(kw)
