model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
ensembles,Centennial Complex,present_chll_tonhr,lstm,rfecv,6,6,30,day,234.46136593060638,189.41541989595189,0.23990986937529601,./models/ensembles/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm_rfecv_6_6_30_day,./models/tmp/Centennial_Complex_Data_Extended_present_chll_tonhr_lstm,Centennial_Complex_Data_Extended.csv
ensembles,General Storage,present_elec_kwh,linear_regression,rfecv,3,2,30,day,83.58236400295853,68.31897515555141,0.21835350110112509,./models/ensembles/General_Storage_Data_Extended_present_elec_kwh_linear_regression_rfecv_3_2_30_day,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_linear_regression,General_Storage_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,lstm,lassocv,7,5,30,day,328.1609667829934,271.38911636948905,0.33004335543213287,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_lstm_lassocv_7_5_30_day,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_lstm,College_of_Education_Data_Extended.csv
xgboost,Indoor Practice Facility,present_elec_kwh,linear_interpolation,lassocv,5,5,30,day,200.716633503452,159.26209436053833,0.3072960504218168,./models/xgboost/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_5_5_30_day,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_linear_interpolation,Indoor_Practice_Facility_Data_Extended.csv
xgboost,WTBC,present_elec_kwh,linear_regression,lassocv,6,2,30,day,142.15773047535598,96.6354256092134,0.08371466951529868,./models/xgboost/WTBC_Data_Extended_present_elec_kwh_linear_regression_lassocv_6_2_30_day,./models/tmp/WTBC_Data_Extended_present_elec_kwh_linear_regression,WTBC_Data_Extended.csv
solos,WTBC,present_elec_kwh,linear_interpolation,lassocv,2,2,30,day,169.1468466307065,127.18140509591622,0.11039346461289741,./models/solos/WTBC_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_2_2_30_day,./models/tmp/WTBC_Data_Extended_present_elec_kwh_linear_interpolation,WTBC_Data_Extended.csv
ensembles,Engineering,present_elec_kwh,linear_interpolation,rfecv,6,4,30,day,653.5862507006716,486.13059374781636,0.08599498098004732,./models/ensembles/Engineering_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_6_4_30_day,./models/tmp/Engineering_Data_Extended_present_elec_kwh_linear_interpolation,Engineering_Data_Extended.csv
ensembles,Fine Arts,present_elec_kwh,linear_interpolation,lassocv,6,6,30,day,639.0764128707486,509.3496336531711,0.15153895882880444,./models/ensembles/Fine_Arts_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_6_6_30_day,./models/tmp/Fine_Arts_Data_Extended_present_elec_kwh_linear_interpolation,Fine_Arts_Data_Extended.csv
ensembles,Biological Sciences,present_chll_tonhr,prophet,rfecv,7,1,30,day,35.47618929100129,26.919754527128863,0.21497200301799807,./models/ensembles/Biological_Sciences_Data_Extended_present_chll_tonhr_prophet_rfecv_7_1_30_day,./models/tmp/Biological_Sciences_Data_Extended_present_chll_tonhr_prophet,Biological_Sciences_Data_Extended.csv
xgboost,Energy Innovation Center,present_chll_tonhr,linear_interpolation,lassocv,4,1,30,day,3.2685704137940603,2.5252798978180975,0.2001826351400026,./models/xgboost/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_linear_interpolation_lassocv_4_1_30_day,./models/tmp/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_linear_interpolation,Energy_Innovation_Center_Data_Extended.csv
